Last_Name,First_Name,Middle_Name,Suffix,Birth_Month,Birth_Day,Birth_Year,Birth_City,Birth_State,Death_Month,Death_Day,Death_Year,Death_City,Death_State,Gender,Race_or_Ethnicity,Court_Type_1,Court_Name_1,Appointment_Title_1,Appointing_President_1,Party_of_Appointing_President_1,ABA_Rating_1,Recess_Appointment_Date_1,Nomination_Date_1,Committee_Referral_Date_1,Hearing_Date_1,Judiciary_Committee_Action_1,Committee_Action_Date_1,Senate_Vote_Type_1,Ayes_n_Nays_1,Confirmation_Date_1,Commission_Date_1,Senior_Status_Date_1,Termination_1,Termination_Date_1,School_1,Degree_1,Degree_Year_1,School_2,Degree_2,Degree_Year_2,School_3,Degree_3,Degree_Year_3,School_4,Degree_4,Degree_Year_4,School_5,Degree_5,Degree_Year_5,Birth_Date,Death_Date,Full_Name,Appointing_President_Num_1,Appointing_President_State_1,Court_Circuit_1,Court_Abbrev_Bluebook_1,Court_Abbrev_Website_1,Court_State_1,Court_Code,Vacancy_Reason,Filings_Per_Seat_Weighted,Filings_Per_Panel_Adjusted,Vacancy_Date,Vacancy_Duration_ATSCRAPE,Seat_Code_1,Other_Nomination,Other_Rejection,Confirmation_Duration_Total,Service_Duration_1,Service_Duration_2,Appointment_Age_1,Appointment_Age_Earliest
Ingersoll,Charles,Anthony, ,10,19,1798,New Haven,CT,1,12,1860,New Haven,CT,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,Franklin Pierce,Democratic,,,1853-04-06,1853-04-06,,Reported (no recommendation recorded),1853-04-08,Voice,  ,1853-04-08,1853-04-08,,Death,1860-01-12,Read law,,,Yale College,A.M.,1827-01-01,,,,,,,,,,1798-10-19,1860-01-12,Charles Anthony Ingersoll,14,NH,2,D. Conn.,02 - CT,CT,,,,,1860-01-12,58249 days 01:27:23.045008000,02-CT-01,,,2 days 00:00:00.000000000,2470 days 00:00:00.000000000,,54.462446183015395,54.462446183015395
Shipman,William,Davis, ,12,29,1818,Chester,CT,9,24,1898,"Astoria, Long Island",NY,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,James Buchanan,Democratic,,,1860-02-28,1860-03-02,,Reported (no recommendation recorded),1860-03-12,Voice,  ,1860-03-12,1860-03-12,,Resignation,1873-04-16,Read law,,1849-01-01,,,,,,,,,,,,,1818-12-29,1898-09-24,William Davis Shipman,15,PA,2,D. Conn.,02 - CT,CT,,,,,1873-04-16,53406 days 01:27:23.045008000,02-CT-01,,,13 days 00:00:00.000000000,4783 days 00:00:00.000000000,,41.1671697570792,41.1671697570792
Platt,James,Perry, ,3,31,1851,Towanda,PA,1,26,1913, , ,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,Theodore Roosevelt,Republican,,,1902-02-18,1902-02-18,,Reported (favorably),1902-02-28,Voice,  ,1902-02-28,1902-02-28,,Death,1913-01-26,Yale College,A.B.,1873-01-01,Yale Law School,LL.B.,1875-01-01,,,,,,,,,,1851-03-31,1913-01-26,James Perry Platt,26,NY,2,D. Conn.,02 - CT,CT,,,,,1913-01-26,38877 days 01:27:23.045008000,02-CT-01,,,10 days 00:00:00.000000000,3985 days 00:00:00.000000000,,50.8867396318884,50.8867396318884
Thomas,Edwin,Stark, ,11,11,1872,Woodstock,IL,1,21,1952,Columbia,CT,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,Woodrow Wilson,Democratic,,,1913-10-16,1913-10-16,,Reported (favorably),1913-11-17,Voice,  ,1913-11-17,1913-11-17,,Resignation,1939-04-12,Yale Law School,LL.B.,1895-01-01,,,,,,,,,,,,,1872-11-11,1952-01-21,Edwin Stark Thomas,28,NJ,2,D. Conn.,02 - CT,CT,,,,,1939-04-12,29305 days 01:27:23.045008000,02-CT-01,,,32 days 00:00:00.000000000,9277 days 00:00:00.000000000,,40.926233940464215,40.926233940464215
Burrows,Warren,Booth, ,9,14,1877,Poquonock Bridge,CT,12,8,1952,Poquonock Bridge,CT,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,Calvin Coolidge,Republican,,,1928-02-03,1928-02-04,,Reported (favorably),1928-02-14,Voice,  ,1928-02-16,1928-02-16,,Resignation,1930-10-20,University of Michigan Law School,LL.B.,1904-01-01,,,,,,,,,,,,,1877-09-14,1952-12-08,Warren Booth Burrows,30,MA,2,D. Conn.,02 - CT,CT,,,,,1930-10-20,32401 days 01:27:23.045008000,02-CT-02,,,13 days 00:00:00.000000000,977 days 00:00:00.000000000,,50.385702649609506,50.385702649609506
Zampano,Robert,Carmine, ,3,18,1928,New Haven,CT,1,12,2004,New Haven,CT,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,Lyndon B. Johnson,Democratic,Qualified,,1964-08-04,1964-08-04,1964-08-12,Reported (favorably),1964-08-13,Voice,  ,1964-08-15,1964-08-15,1977-06-01,Retirement,1994-04-01,Yale University,B.A.,1951-01-01,Yale Law School,LL.B.,1954-01-01,,,,,,,,,,1928-03-18,2004-01-12,Robert Carmine Zampano,36,TX,2,D. Conn.,02 - CT,CT,,,,,1994-04-01,9227 days 01:27:23.045008000,02-CT-02,,,11 days 00:00:00.000000000,10821 days 00:00:00.000000000,,36.38130830886329,36.38130830886329
Covello,Alfred,V., ,9,30,1933,Hartford,CT,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,George H.W. Bush,Republican,Well Qualified,,1992-04-01,1992-04-01,1992-08-04,Reported (favorably),1992-08-12,Voice,  ,1992-08-12,1992-08-17,2003-02-04,,,Harvard University,A.B.,1954-01-01,University of Connecticut School of Law,"J.D., LL.B.",1960-01-01,,,,,,,,,,1933-09-30,1677-09-30,Alfred V. Covello,41,TX,2,D. Conn.,02 - CT,CT,,,,,2003-02-04,5996 days 01:27:23.045008000,02-CT-07,,,133 days 00:00:00.000000000,3823 days 00:00:00.000000000,,58.503596925330434,58.503596925330434
Kravitz,Mark,R., ,6,21,1950,Philadelphia,PA,9,30,2012,Guilford,CT,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,George W. Bush,Republican,Well Qualified,,2003-03-27,2003-03-27,2003-05-22,Reported (favorably),2003-06-05,Roll Call, 97/0,2003-06-11,2003-06-12,,Death,2012-09-30,Wesleyan University,B.A.,1972-01-01,Georgetown University Law Center,J.D.,1975-01-01,,,,,,,,,,1950-06-21,2012-09-30,Mark R. Kravitz,43,TX,2,D. Conn.,02 - CT,CT,,,,,2012-09-30,2470 days 01:27:23.045008000,02-CT-07,,,76 days 00:00:00.000000000,3398 days 00:00:00.000000000,,52.76494383868252,52.76494383868252
Bryant,Vanessa,Lynne, ,9,30,1954,Queens,NY,9,30,1677, , ,Female,AfriAmerican,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,George W. Bush,Republican,Qualified,,2007-01-09,2007-01-09,,Reported (favorably),2007-03-08,Voice,  ,2007-03-28,2007-04-02,,,,Howard University,B.A.,1975-01-01,University of Connecticut School of Law,J.D.,1978-01-01,,,,,,,,,,1954-09-30,1677-09-30,Vanessa Lynne Bryant,43,TX,2,D. Conn.,02 - CT,CT,,,,,,,02-CT-08,"['Nominated to U.S. District Court for the District of Connecticut, January 25, 2006']",[],78 days 00:00:00.000000000,,,52.277596391438564,52.277596391438564
Dorsey,Peter,Collins, ,3,24,1931,New London,CT,1,21,2012,New Haven,CT,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,Ronald Reagan,Republican,Well Qualified,,1983-06-07,1983-06-07,1983-06-22,Reported (favorably),1983-07-14,Voice,  ,1983-07-18,1983-07-19,1998-01-02,Death,2012-01-21,Yale University,B.A.,1953-01-01,Harvard Law School,LL.B.,1959-01-01,,,,,,,,,,1931-03-24,2012-01-21,Peter Collins Dorsey,40,CA,2,D. Conn.,02 - CT,CT,,,,,2012-01-21,2723 days 01:27:23.045008000,02-CT-04,,,41 days 00:00:00.000000000,10413 days 00:00:00.000000000,,52.206410809256866,52.206410809256866
