Last_Name,First_Name,Middle_Name,Suffix,Birth_Month,Birth_Day,Birth_Year,Birth_City,Birth_State,Death_Month,Death_Day,Death_Year,Death_City,Death_State,Gender,Race_or_Ethnicity,Court_Type_1,Court_Name_1,Appointment_Title_1,Appointing_President_1,Party_of_Appointing_President_1,ABA_Rating_1,Recess_Appointment_Date_1,Nomination_Date_1,Committee_Referral_Date_1,Hearing_Date_1,Judiciary_Committee_Action_1,Committee_Action_Date_1,Senate_Vote_Type_1,Ayes_n_Nays_1,Confirmation_Date_1,Commission_Date_1,Senior_Status_Date_1,Termination_1,Termination_Date_1,School_1,Degree_1,Degree_Year_1,School_2,Degree_2,Degree_Year_2,School_3,Degree_3,Degree_Year_3,School_4,Degree_4,Degree_Year_4,School_5,Degree_5,Degree_Year_5,Birth_Date,Death_Date,Full_Name,Appointing_President_Num_1,Appointing_President_State_1,Court_Circuit_1,Court_Abbrev_Bluebook_1,Court_Abbrev_Website_1,Court_State_1,Court_Code,Vacancy_Reason,Filings_Per_Seat_Weighted,Filings_Per_Panel_Adjusted,Vacancy_Date,Vacancy_Duration_ATSCRAPE,Seat_Code_1,Other_Nomination,Other_Rejection,Confirmation_Duration_Total,Service_Duration_1,Service_Duration_2,Appointment_Age_1,Appointment_Age_Earliest
Covello,Alfred,V., ,9,30,1933,Hartford,CT,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,George H.W. Bush,Republican,Well Qualified,,1992-04-01,1992-04-01,1992-08-04,Reported (favorably),1992-08-12,Voice,  ,1992-08-12,1992-08-17,2003-02-04,,,Harvard University,A.B.,1954-01-01,University of Connecticut School of Law,"J.D., LL.B.",1960-01-01,,,,,,,,,,1933-09-30,1677-09-30,Alfred V. Covello,41,TX,2,D. Conn.,02 - CT,CT,,,,,2003-02-04,5996 days 01:27:23.045008000,02-CT-07,,,133 days 00:00:00.000000000,3823 days 00:00:00.000000000,,58.503596925330434,58.503596925330434
Bryant,Vanessa,Lynne, ,9,30,1954,Queens,NY,9,30,1677, , ,Female,AfriAmerican,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,George W. Bush,Republican,Qualified,,2007-01-09,2007-01-09,,Reported (favorably),2007-03-08,Voice,  ,2007-03-28,2007-04-02,,,,Howard University,B.A.,1975-01-01,University of Connecticut School of Law,J.D.,1978-01-01,,,,,,,,,,1954-09-30,1677-09-30,Vanessa Lynne Bryant,43,TX,2,D. Conn.,02 - CT,CT,,,,,,,02-CT-08,"['Nominated to U.S. District Court for the District of Connecticut, January 25, 2006']",[],78 days 00:00:00.000000000,,,52.277596391438564,52.277596391438564
Arterton,Janet,Bond, ,9,30,1944,Philadelphia,PA,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,William J. Clinton,Democratic,Well Qualified,,1995-01-23,1995-01-23,1995-02-27,Reported (favorably),1995-03-16,Voice,  ,1995-03-24,1995-03-24,2014-07-01,,,Mount Holyoke College,B.A.,1966-01-01,Northeastern University School of Law,J.D.,1977-01-01,,,,,,,,,,1944-09-30,1677-09-30,Janet Bond Arterton,42,AK,2,D. Conn.,02 - CT,CT,,,,,2014-07-01,1831 days 01:27:23.045008000,02-CT-01,,,60 days 00:00:00.000000000,7039 days 00:00:00.000000000,,50.31451706742781,50.31451706742781
Hall,Janet,C., ,9,30,1948,Lowell,MA,9,30,1677, , ,Female,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,William J. Clinton,Democratic,Well Qualified,,1997-06-05,1997-06-05,1997-07-22,Reported (favorably),1997-07-31,Roll Call, 98/1,1997-09-11,1997-09-18,,,,Mount Holyoke College,A.B.,1970-01-01,New York University School of Law,J.D.,1973-01-01,,,,,,,,,,1948-09-30,1677-09-30,Janet C. Hall,42,AK,2,D. Conn.,02 - CT,CT,,,,,,,02-CT-02,,,98 days 00:00:00.000000000,,,48.679986584255666,48.679986584255666
Thompson,Alvin,W., ,9,30,1953,Baltimore,MD,9,30,1677, , ,Male,AfriAmerican,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,William J. Clinton,Democratic,Qualified,,1994-09-14,1994-09-14,1994-09-28,Reported (favorably),1994-10-05,Voice,  ,1994-10-07,1994-10-11,2018-08-31,,,Princeton University,B.A.,1975-01-01,Yale Law School,J.D.,1978-01-01,,,,,,,,,,1953-09-30,1677-09-30,Alvin W. Thompson,42,AK,2,D. Conn.,02 - CT,CT,,,,,2018-08-31,309 days 01:27:23.045008000,02-CT-03,,,23 days 00:00:00.000000000,8725 days 00:00:00.000000000,,40.95635091754109,40.95635091754109
Underhill,Stefan,R., ,9,30,1956,Battle Creek,MI,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,William J. Clinton,Democratic,Well Qualified,,1999-01-26,1999-01-26,1999-06-16,Reported (favorably),1999-06-24,Roll Call, 94/4,1999-06-30,1999-07-07,,,,University of Virginia,B.A.,1978-01-01,University of Oxford,B.A.,1981-01-01,Yale Law School,J.D.,1984-01-01,,,,,,,1956-09-30,1677-09-30,Stefan R. Underhill,42,AK,2,D. Conn.,02 - CT,CT,,,,,,,02-CT-04,,,155 days 00:00:00.000000000,,,42.32256651402835,42.32256651402835
Chatigny,Robert,N., ,9,30,1951,Taunton,MA,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,William J. Clinton,Democratic,Well Qualified,,1994-08-05,1994-08-05,1994-09-14,Reported (favorably),1994-09-22,Voice,  ,1994-09-28,1994-09-29,2016-12-31,,,Brown University,A.B.,1973-01-01,Georgetown University Law Center,J.D.,1978-01-01,,,,,,,,,,1951-09-30,1677-09-30,Robert N. Chatigny,42,AK,2,D. Conn.,02 - CT,CT,,,,,2016-12-31,917 days 01:27:23.045008000,02-CT-05,"['Nominated to U.S. Court of Appeals for the Second Circuit, February 24, 2010; no Senate vote; Nominated to U.S. Court of Appeals for the Second Circuit, September 13, 2010']",[],54 days 00:00:00.000000000,8129 days 00:00:00.000000000,,42.848244659370145,42.848244659370145
Squatrito,Dominic,J., ,9,30,1939,Hartford,CT,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,William J. Clinton,Democratic,Well Qualified,,1994-07-28,1994-07-28,1994-09-14,Reported (favorably),1994-09-22,Voice,  ,1994-10-06,1994-10-07,2004-11-01,,,Wesleyan University,B.A.,1961-01-01,Yale Law School,LL.B.,1965-01-01,,,,,,,,,,1939-09-30,1677-09-30,Dominic J. Squatrito,42,AK,2,D. Conn.,02 - CT,CT,,,,,2004-11-01,5360 days 01:27:23.045008000,02-CT-08,,,70 days 00:00:00.000000000,3678 days 00:00:00.000000000,,54.826587814944865,54.826587814944865
Bolden,Victor,Allen, ,9,30,1965,New York,NY,9,30,1677, , ,Male,AfriAmerican,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,Barack Obama,Democratic,Well Qualified,,2014-06-16,2014-06-16,2014-07-29,Reported (favorably),2014-09-18,Roll Call, 49/46,2014-11-20,2014-11-21,,,,Columbia University,A.B.,1986-01-01,Harvard Law School,J.D.,1989-01-01,,,,,,,,,,1965-09-30,1677-09-30,Victor Allen Bolden,44,IL,2,D. Conn.,02 - CT,CT,,,,,,,02-CT-01,,,157 days 00:00:00.000000000,,,48.71010356133254,48.71010356133254
Shea,Michael,Peter, ,9,30,1967,Hartford,CT,9,30,1677, , ,Male,White,U.S. District Court,U.S. District Court for the District of Connecticut,Judge,Barack Obama,Democratic,Qualified,,2012-02-02,2012-02-02,2012-03-28,Reported (favorably),2012-04-26,Roll Call, 72/23,2012-12-05,2012-12-07,,,,Amherst College,B.A.,1989-01-01,Yale Law School,J.D.,1993-01-01,,,,,,,,,,1967-09-30,1677-09-30,Michael Peter Shea,44,IL,2,D. Conn.,02 - CT,CT,,,,,,,02-CT-06,,,307 days 00:00:00.000000000,,,44.34314188518587,44.34314188518587
